iter	RMSE
0	983.3001851
1	980.5663311
2	978.1348924
3	975.5926114
4	973.0038249
5	970.6391619
6	968.2045274
7	965.7049199
8	963.2451021
9	960.9847364
10	958.5952056
11	956.3640381
12	954.2669754
13	952.0436471
14	949.8194744
15	947.7027648
16	945.5384488
17	943.4654939
18	941.3913204
19	939.4754913
20	937.4826825
21	935.4997526
22	933.5161794
23	931.6447216
24	929.6796741
25	927.8338144
26	926.0183677
27	924.1886363
28	922.3054552
29	920.5219442
30	918.7552378
31	917.0426958
32	915.3834806
33	913.5859305
34	911.9866799
35	910.3824249
36	908.7482227
37	907.2266559
38	905.7535132
39	904.273261
40	902.7595345
41	901.1901573
42	899.6321604
43	898.1587659
44	896.6736982
45	895.2938178
46	893.8563426
47	892.5432252
48	891.10221
49	889.8002635
50	888.5297233
51	887.3823978
52	886.143151
53	884.946249
54	883.7470465
55	882.5761666
56	881.2931558
57	880.161977
58	878.9299995
59	877.8266296
60	876.6236086
61	875.5420654
62	874.5194506
63	873.3616251
64	872.2926404
65	871.292103
66	870.2310408
67	869.2699397
68	868.2151705
69	867.2564713
70	866.2405994
71	865.2665609
72	864.2852306
73	863.4015545
74	862.4353758
75	861.5325687
76	860.6717892
77	859.7496971
78	858.928514
79	858.1125655
80	857.3242642
81	856.4556418
82	855.6507135
83	854.8834849
84	854.0817826
85	853.2685751
86	852.5647323
87	851.7850426
88	851.0594136
89	850.3180069
90	849.5682584
91	848.8139158
92	848.1410453
93	847.4436003
94	846.7418895
95	846.0326521
96	845.3739973
97	844.7098534
98	844.0607844
99	843.4010296
100	842.7426782
101	842.1544822
102	841.5244024
103	840.9268955
104	840.3403206
105	839.720183
106	839.1460159
107	838.6007475
108	838.0766868
109	837.5574041
110	836.990837
111	836.4287927
112	835.8901809
113	835.3438119
114	834.804657
115	834.2716046
116	833.7512173
117	833.2387555
118	832.7327511
119	832.242823
120	831.7573535
121	831.290145
122	830.8241717
123	830.3546429
124	829.928876
125	829.4723675
126	829.0603535
127	828.6684785
128	828.2248421
129	827.7928365
130	827.384378
131	826.9985184
132	826.5905379
133	826.1928598
134	825.8092185
135	825.4132849
136	825.0230972
137	824.6814877
138	824.3467625
139	823.9963092
140	823.6304213
141	823.268992
142	822.9382738
143	822.6056094
144	822.2979197
145	821.9605239
146	821.7007125
147	821.3750209
148	821.0197883
149	820.7304846
150	820.3946551
151	820.1043414
152	819.8320388
153	819.5200183
154	819.2411252
155	818.9556426
156	818.6514274
157	818.3858862
158	818.0824658
159	817.7943895
160	817.5101996
161	817.2283601
162	816.9561995
163	816.669567
164	816.4026285
165	816.1522087
166	815.8901797
167	815.61949
168	815.3772244
169	815.1019899
170	814.8783264
171	814.6128547
172	814.3633271
173	814.1059422
174	813.8941522
175	813.6392778
176	813.3991552
177	813.1727351
178	812.9426962
179	812.7168666
180	812.4858538
181	812.2804644
182	812.0528699
183	811.8279533
184	811.6116138
185	811.3847019
186	811.1673495
187	810.9819686
188	810.7520235
189	810.5367058
190	810.3818897
191	810.1848324
192	809.9660686
193	809.7688946
194	809.5894504
195	809.3837043
196	809.1870067
197	808.9797809
198	808.780931
199	808.5794545
200	808.3775309
201	808.1904981
202	808.004905
203	807.8039907
204	807.6127706
205	807.430449
206	807.273429
207	807.107991
208	806.923286
209	806.7426241
210	806.5704311
211	806.4014787
212	806.2365692
213	806.062709
214	805.8759712
215	805.7070434
216	805.5447533
217	805.3896323
218	805.2283973
219	805.0765009
220	804.9029501
221	804.7536946
222	804.5834832
223	804.4709267
224	804.331662
225	804.1888028
226	804.0483502
227	803.8778886
228	803.7460015
229	803.6152567
230	803.4789725
231	803.3608724
232	803.2193076
233	803.0762309
234	802.9610595
235	802.8106222
236	802.6836447
237	802.5578896
238	802.4122474
239	802.3077899
240	802.1713549
241	802.0467746
242	801.9209638
243	801.8128016
244	801.6856283
245	801.5879871
246	801.4792929
247	801.3410189
248	801.2111817
249	801.0934394
250	800.9763338
251	800.8617698
252	800.7351706
253	800.6075635
254	800.5041987
255	800.3935401
256	800.274041
257	800.1639361
258	800.0672441
259	799.9437962
260	799.8415313
261	799.7290737
262	799.6519398
263	799.5228226
264	799.4093409
265	799.288053
266	799.2026999
267	799.0990437
268	798.9866293
269	798.9076887
270	798.8326111
271	798.7291867
272	798.6252422
273	798.5110823
274	798.3975814
275	798.33141
276	798.2399237
277	798.1227076
278	798.0337008
279	797.940282
280	797.8379363
281	797.7745001
282	797.6968877
283	797.5996995
284	797.5127706
285	797.4152515
286	797.3264106
287	797.2453356
288	797.1403344
289	797.0493663
290	796.9550652
291	796.8369948
292	796.7341163
293	796.6464763
294	796.5612002
