iter	Passed	Remaining
0	64	64858
1	110	55147
2	157	52390
3	226	56485
4	274	54720
5	339	56225
6	390	55341
7	430	53394
8	479	52788
9	529	52422
10	601	54069
11	649	53481
12	691	52475
13	757	53327
14	795	52259
15	823	50633
16	852	49315
17	883	48217
18	1002	51782
19	1085	53173
20	1193	55628
21	1232	54770
22	1317	55962
23	1418	57692
24	1485	57921
25	1525	57140
26	1568	56511
27	1604	55704
28	1650	55269
29	1671	54041
30	1704	53280
31	1746	52846
32	1785	52333
33	1864	52964
34	1901	52432
35	1948	52174
36	1998	52026
37	2033	51486
38	2095	51646
39	2131	51145
40	2176	50903
41	2215	50533
42	2258	50266
43	2294	49851
44	2327	49396
45	2366	49083
46	2408	48836
47	2446	48521
48	2486	48251
49	2545	48360
50	2582	48053
51	2624	47837
52	2654	47428
53	2698	47266
54	2762	47472
55	2821	47565
56	2854	47216
57	2895	47027
58	2938	46873
59	2986	46781
60	3023	46542
61	3069	46440
62	3111	46281
63	3151	46092
64	3192	45918
65	3261	46156
66	3358	46763
67	3451	47304
68	3521	47516
69	3570	47430
70	3596	47059
71	3631	46805
72	3687	46820
73	3722	46583
74	3762	46403
75	3818	46424
76	3863	46313
77	3910	46228
78	3946	46014
79	3982	45795
80	4024	45657
81	4063	45491
82	4109	45401
83	4142	45173
84	4186	45067
85	4240	45072
86	4281	44934
87	4320	44777
88	4357	44606
89	4422	44718
90	4463	44587
91	4497	44386
92	4538	44262
93	4580	44149
94	4632	44127
95	4657	43859
96	4688	43644
97	4734	43579
98	4791	43606
99	4830	43472
100	4873	43374
101	4935	43451
102	4973	43315
103	5011	43174
104	5048	43031
105	5080	42848
106	5125	42774
107	5162	42642
108	5204	42542
109	5239	42390
110	5279	42284
111	5326	42228
112	5384	42263
113	5442	42299
114	5478	42157
115	5527	42120
116	5575	42079
117	5631	42096
118	5689	42119
119	5761	42250
120	5803	42159
121	5854	42132
122	5886	41969
123	5930	41894
124	5983	41882
125	6045	41932
126	6143	42231
127	6187	42153
128	6236	42108
129	6280	42027
130	6333	42013
131	6377	41937
132	6441	41991
133	6492	41959
134	6538	41896
135	6588	41856
136	6617	41683
137	6658	41592
138	6728	41675
139	6776	41628
140	6814	41515
141	6846	41366
142	6878	41224
143	6945	41286
144	7055	41605
145	7097	41516
146	7130	41378
147	7202	41461
148	7240	41354
149	7302	41382
150	7357	41366
151	7411	41351
152	7446	41221
153	7511	41265
154	7555	41187
155	7604	41144
156	7676	41220
157	7720	41141
158	7776	41134
159	7853	41230
160	7915	41249
161	8058	41686
162	8201	42115
163	8252	42067
164	8287	41940
165	8400	42203
166	8451	42157
167	8488	42039
168	8539	41988
169	8644	42203
170	8766	42501
171	8850	42605
172	8891	42502
173	9089	43149
174	9131	43049
175	9184	43001
176	9230	42921
177	9306	42979
178	9340	42838
179	9382	42740
180	9426	42655
181	9465	42541
182	9558	42673
183	9618	42653
184	9673	42615
185	9773	42771
186	9811	42655
187	9877	42660
188	9939	42652
189	10004	42650
190	10272	43510
191	10428	43886
192	10512	43954
193	10553	43844
194	10660	44006
195	10731	44019
196	10793	43994
197	10824	43845
198	10950	44076
199	11027	44109
200	11069	44003
201	11116	43914
202	11235	44112
203	11318	44163
204	11379	44131
205	11436	44081
206	11484	43995
207	11525	43883
208	11589	43863
209	11674	43918
210	11707	43778
211	11803	43874
